Index,Prime_Number,Is_Even,Digit_Count,Last_Digit,Gap_From_Previous
0,2,True,1,2,0
1,3,False,1,3,1
2,5,False,1,5,2
3,7,False,1,7,2
4,11,False,2,1,4
5,13,False,2,3,2
6,17,False,2,7,4
7,19,False,2,9,2
8,23,False,2,3,4
9,29,False,2,9,6
10,31,False,2,1,2
11,37,False,2,7,6
12,41,False,2,1,4
13,43,False,2,3,2
14,47,False,2,7,4
15,53,False,2,3,6
16,59,False,2,9,6
17,61,False,2,1,2
18,67,False,2,7,6
19,71,False,2,1,4
20,73,False,2,3,2
21,79,False,2,9,6
22,83,False,2,3,4
23,89,False,2,9,6
24,97,False,2,7,8
